1	68.70	58.11	87.81
2	65.00	58.52	85.69
3	70.38	52.62	71.78
4	70.86	58.83	77.34
5	66.56	60.59	68.12
6	73.57	61.57	57.98
7	73.57	87.22	89.86
8	69.89	58.25	74.81
9	70.98	63.12	83.27
10	70.52	64.00	82.34
11	69.44	64.70	80.21
12	72.18	55.04	69.96
13	68.24	61.06	70.53
14	76.55	61.19	76.26
15	69.59	54.96	68.14
16	70.34	56.29	69.44
17	73.20	65.41	94.72
18	70.18	59.34	80.56
19	69.71	61.95	67.83
20	87.50	60.44	79.59
21	70.88	56.82	68.72
22	65.99	57.20	66.51
23	72.14	62.22	77.39
24	74.87	55.25	89.53
