0	0	9	26	29	0	0	0	4	0	0	0
0	0	3.8	0	0	0	0	0	8	0	0	0
0	0	46.6	0	0	0	0	0	0	0	0	1
32.4	0	75.4	0	0	0	0	0	1	0	25.6	16.6
5	5.8	20.4	0	0	0	1.8	0	10.5	0	21.6	0
16.2	2	13.8	24.4	0	0	0	0	5	0	0	0
38.4	0	0	0	0	0	0	0	0	0	1.6	0
16	0	0	0	0	0	0	0	0	0	0	5
6.4	0	0	0	0	0	0	0	0	0	58	0
7.4	0	0	0	0	8.5	0	0	0	0	16	0
13	0	0	0	0	11.4	0	0	22	0	0	0
0	26.2	0	0	0	0	0	0	2	0	0	0
0	11.2	1.8	0	0	0	0	0	1	0	0	11.5
0	0	0	0	0	0.5	0	0	0	0	0	0
0	19	0	0	0	1.6	3	0	2	0	0	0
3.2	0	0	0	4	0	11	0	1.2	0	2	7.6
3.6	1.2	0	0	0	0	0	0	11	4	0	19
0	0	0	0	1.2	5	0	0	0	0	0	0
1.2	0	0	0	3	0	0	0	0	0	0	0
72.4	1.4	0	0	0	11.6	0	0	1	0	0	0
62.5	1.8	1	0	0	43.6	0	0	0	0	0	0
0	13.2	0	2.6	0	11	3	0	0	18	0	4
0	16.2	9.2	0	1	23	3.4	0	0	1.2	0	0.2
0	27	3	0	0	25.4	0.8	0	0	0	0	0
0.6	11	5.4	0	0	0.5	18.4	0	0	0	0	0
0	19	0	0	0	1	13.8	0	0	0	0	2.9
0	0	0	0	0	0	0	2	0.5	0	0	3.8
0	8.6	0	0	0	0	9	13	6	0	0	1.4
0.6	-9999	0	0	6.5	0	24.8	20.5	0	0	0	0
0	-9999	0	0	0	0.4	0	3.5	0	3.2	0.4	0
0	-9999	0.5	-9999	0	-9999	0	12.4	-9999	0	-9999	0
